Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
405.045044	34.709808	248.870041	34.588978	249.539001	49.901646	263.004456	50.224110	263.819092	83.321136	117.893066	83.249779	120.170044	
406.636414	36.774998	250.638321	36.221897	251.823700	54.692097	257.098206	55.425934	257.795502	72.446991	92.353065	72.364670	92.558716	
408.227905	38.387913	252.331757	38.117882	253.131882	60.920174	247.692825	61.871632	248.093018	63.111694	82.318596	63.200726	83.175217	
409.819275	40.501659	252.633316	40.356537	253.362274	68.092239	231.220383	69.150047	230.884598	56.038609	76.393417	56.269192	77.222618	
411.410706	43.216068	251.003220	43.040302	252.360001	74.292374	199.199081	74.876617	196.986908	51.081646	72.338455	51.110271	72.992737	
413.002106	46.328823	248.692062	46.287960	249.877380	73.873497	153.915314	74.056030	150.609299	47.003391	69.033150	47.214340	70.012794	
414.593414	50.117718	243.970764	50.211620	245.493805	68.079849	123.739281	67.819412	121.654900	43.938408	67.232239	44.180172	68.055687	
416.184753	54.475712	236.985794	54.848595	238.450241	61.160088	106.616341	60.917027	106.898369	41.735680	66.255280	41.718430	66.965538	
417.776215	60.110321	226.040802	59.984657	227.348160	55.247295	98.662567	54.979675	98.347778	39.437099	65.700272	39.625977	66.621155	
419.367615	64.696922	208.926559	64.789871	209.954636	50.281212	92.516251	50.183651	92.932785	37.689190	65.965286	37.759781	66.926651	
420.958984	67.004326	182.798264	67.496132	185.080353	46.512398	88.980087	46.345161	89.451355	35.930370	66.990883	36.017410	67.808197	
422.550293	66.476822	156.841354	66.505928	158.206436	43.215698	86.380760	43.233627	87.345139	34.100502	68.673012	34.323498	69.211838	
424.141602	62.121449	136.877472	62.579159	137.514786	40.583691	85.753319	40.649906	86.308044	32.356979	70.322388	32.620411	71.102020	
425.732971	57.562710	122.393044	57.663795	124.033867	38.395947	85.274353	38.439377	86.150063	30.658375	72.366669	30.863087	73.460213	
427.324219	52.799908	113.979469	52.945835	115.448700	36.282333	86.047516	36.486893	86.743881	28.742706	75.312347	29.016369	76.284630	
428.915527	48.557735	108.960297	48.828190	109.941925	34.569572	87.297760	34.707058	88.001572	26.780649	78.284607	27.052675	79.593788	
430.506836	45.246029	105.528397	45.353497	106.480942	32.990837	89.243134	33.037563	89.863342	24.758854	82.557587	24.952753	83.431572	
432.098053	42.134235	103.265358	42.440655	104.487167	31.294512	91.460793	31.433205	92.291801	22.405737	87.179863	22.706701	87.879807	
433.689392	39.847485	102.138618	39.981285	103.617134	29.856304	94.488884	29.861532	95.269753	20.062172	92.268738	20.316006	93.083206	
435.280609	37.410305	102.488693	37.876106	103.653267	28.186888	98.249626	28.301682	98.796539	17.439989	98.171738	17.800192	99.290131	
